start_task.keys,start_task.rt,charRating.keys,charRating.rt,amp_loop.thisRepN,amp_loop.thisTrialN,amp_loop.thisN,amp_loop.thisIndex,amp_loop.ran,stimPath,stimID,charPath,charID,noiseID,generatorPol,ciGroup,ciLevel,prolificID,date,expName,psychopyVersion,OS,frameRate
,,4,1.071,0,37,37,24,1,cis/conservative - ingroup/base_idNo_986864_autoscaled.jpg,stim025,chinese characters/Slide25.jpeg,char025,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,4,1.1183,0,38,38,2,1,cis/conservative - ingroup/base_idNo_196857_autoscaled.jpg,stim003,chinese characters/Slide3.jpeg,char003,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,1.7902,0,39,39,33,1,cis/conservative - outgroup/base_idNo_394668_autoscaled.jpg,stim034,chinese characters/Slide34.jpeg,char034,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.7162,0,40,40,74,1,cis/liberal - ingroup/base_idNo_962973_autoscaled.jpg,stim075,chinese characters/Slide75.jpeg,char075,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,1.3571,0,41,41,61,1,cis/liberal - ingroup/base_idNo_537785_autoscaled.jpg,stim062,chinese characters/Slide62.jpeg,char062,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,1.0862,0,42,42,49,1,cis/conservative - outgroup/base_idNo_914661_autoscaled.jpg,stim050,chinese characters/Slide50.jpeg,char050,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.8795,0,43,43,11,1,cis/conservative - ingroup/base_idNo_481688_autoscaled.jpg,stim012,chinese characters/Slide12.jpeg,char012,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,17.4036,0,44,44,29,1,cis/conservative - outgroup/base_idNo_270729_autoscaled.jpg,stim030,chinese characters/Slide30.jpeg,char030,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.8898,0,45,45,98,1,cis/liberal - outgroup/base_idNo_868580_autoscaled.jpg,stim099,chinese characters/Slide99.jpeg,char099,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.8713,0,46,46,70,1,cis/liberal - ingroup/base_idNo_856223_autoscaled.jpg,stim071,chinese characters/Slide71.jpeg,char071,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,1.0335,0,47,47,19,1,cis/conservative - ingroup/base_idNo_700600_autoscaled.jpg,stim020,chinese characters/Slide20.jpeg,char020,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,4,0.6564,0,48,48,65,1,cis/liberal - ingroup/base_idNo_644305_autoscaled.jpg,stim066,chinese characters/Slide66.jpeg,char066,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,4.3982,0,49,49,28,1,cis/conservative - outgroup/base_idNo_258288_autoscaled.jpg,stim029,chinese characters/Slide29.jpeg,char029,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.6213,0,50,50,5,1,cis/conservative - ingroup/base_idNo_244753_autoscaled.jpg,stim006,chinese characters/Slide6.jpeg,char006,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.682,0,51,51,55,1,cis/liberal - ingroup/base_idNo_309610_autoscaled.jpg,stim056,chinese characters/Slide56.jpeg,char056,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.869,0,52,52,42,1,cis/conservative - outgroup/base_idNo_735257_autoscaled.jpg,stim043,chinese characters/Slide43.jpeg,char043,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,3,0.8044,0,53,53,0,1,cis/conservative - ingroup/base_idNo_184154_autoscaled.jpg,stim001,chinese characters/Slide1.jpeg,char001,noise_pattern.jpg,conservative,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,1,0.7209,0,54,54,38,1,cis/conservative - outgroup/base_idNo_612237_autoscaled.jpg,stim039,chinese characters/Slide39.jpeg,char039,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.8716,0,55,55,54,1,cis/liberal - ingroup/base_idNo_293475_autoscaled.jpg,stim055,chinese characters/Slide55.jpeg,char055,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.7196,0,56,56,44,1,cis/conservative - outgroup/base_idNo_844015_autoscaled.jpg,stim045,chinese characters/Slide45.jpeg,char045,noise_pattern.jpg,conservative,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.6853,0,57,57,67,1,cis/liberal - ingroup/base_idNo_662846_autoscaled.jpg,stim068,chinese characters/Slide68.jpeg,char068,noise_pattern.jpg,liberal,ingroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.7671,0,58,58,93,1,cis/liberal - outgroup/base_idNo_758732_autoscaled.jpg,stim094,chinese characters/Slide94.jpeg,char094,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
,,2,0.8902,0,59,59,75,1,cis/liberal - outgroup/base_idNo_119301_autoscaled.jpg,stim076,chinese characters/Slide76.jpeg,char076,noise_pattern.jpg,liberal,outgroup,individual,5c257b7dda51990001e2787c,2022-06-15_00h16.49.956,study 2 - amp,2020.2.10,Win32,60
