"idNo","condition","response","stimNum","polAffil"
"244753","conservative",-1,180,"conservative"
"244753","conservative",1,59,"conservative"
"244753","conservative",-1,178,"conservative"
"244753","conservative",-1,132,"conservative"
"244753","conservative",-1,140,"conservative"
"244753","conservative",-1,44,"conservative"
"244753","conservative",-1,49,"conservative"
"244753","conservative",-1,227,"conservative"
"244753","conservative",-1,121,"conservative"
"244753","conservative",-1,113,"conservative"
"244753","conservative",-1,67,"conservative"
"244753","conservative",1,221,"conservative"
"244753","conservative",1,189,"conservative"
"244753","conservative",1,47,"conservative"
"244753","conservative",1,115,"conservative"
"244753","conservative",-1,133,"conservative"
"244753","conservative",1,171,"conservative"
"244753","conservative",1,218,"conservative"
"244753","conservative",1,109,"conservative"
"244753","conservative",-1,190,"conservative"
"244753","conservative",-1,28,"conservative"
"244753","conservative",1,243,"conservative"
"244753","conservative",-1,125,"conservative"
"244753","conservative",1,159,"conservative"
"244753","conservative",-1,107,"conservative"
"244753","conservative",-1,236,"conservative"
"244753","conservative",-1,15,"conservative"
"244753","conservative",1,234,"conservative"
"244753","conservative",1,94,"conservative"
"244753","conservative",1,48,"conservative"
"244753","conservative",-1,163,"conservative"
"244753","conservative",-1,97,"conservative"
"244753","conservative",1,198,"conservative"
"244753","conservative",1,134,"conservative"
"244753","conservative",1,150,"conservative"
"244753","conservative",-1,16,"conservative"
"244753","conservative",-1,215,"conservative"
"244753","conservative",1,19,"conservative"
"244753","conservative",-1,74,"conservative"
"244753","conservative",1,197,"conservative"
"244753","conservative",1,54,"conservative"
"244753","conservative",-1,70,"conservative"
"244753","conservative",-1,11,"conservative"
"244753","conservative",1,85,"conservative"
"244753","conservative",1,34,"conservative"
"244753","conservative",1,66,"conservative"
"244753","conservative",1,152,"conservative"
"244753","conservative",-1,183,"conservative"
"244753","conservative",1,64,"conservative"
"244753","conservative",-1,110,"conservative"
"244753","conservative",1,179,"conservative"
"244753","conservative",1,130,"conservative"
"244753","conservative",1,21,"conservative"
"244753","conservative",1,184,"conservative"
"244753","conservative",-1,247,"conservative"
"244753","conservative",1,222,"conservative"
"244753","conservative",1,46,"conservative"
"244753","conservative",-1,232,"conservative"
"244753","conservative",1,92,"conservative"
"244753","conservative",-1,76,"conservative"
"244753","conservative",-1,128,"conservative"
"244753","conservative",1,188,"conservative"
"244753","conservative",-1,146,"conservative"
"244753","conservative",1,142,"conservative"
"244753","conservative",-1,98,"conservative"
"244753","conservative",-1,111,"conservative"
"244753","conservative",1,126,"conservative"
"244753","conservative",1,25,"conservative"
"244753","conservative",-1,105,"conservative"
"244753","conservative",1,175,"conservative"
"244753","conservative",1,17,"conservative"
"244753","conservative",1,204,"conservative"
"244753","conservative",1,31,"conservative"
"244753","conservative",1,172,"conservative"
"244753","conservative",1,237,"conservative"
"244753","conservative",1,84,"conservative"
"244753","conservative",1,241,"conservative"
"244753","conservative",1,73,"conservative"
"244753","conservative",-1,57,"conservative"
"244753","conservative",1,205,"conservative"
"244753","conservative",-1,181,"conservative"
"244753","conservative",1,165,"conservative"
"244753","conservative",-1,13,"conservative"
"244753","conservative",-1,40,"conservative"
"244753","conservative",-1,45,"conservative"
"244753","conservative",1,231,"conservative"
"244753","conservative",1,9,"conservative"
"244753","conservative",-1,203,"conservative"
"244753","conservative",-1,245,"conservative"
"244753","conservative",-1,103,"conservative"
"244753","conservative",-1,42,"conservative"
"244753","conservative",-1,223,"conservative"
"244753","conservative",1,29,"conservative"
"244753","conservative",1,32,"conservative"
"244753","conservative",1,123,"conservative"
"244753","conservative",-1,89,"conservative"
"244753","conservative",-1,212,"conservative"
"244753","conservative",-1,151,"conservative"
"244753","conservative",1,149,"conservative"
"244753","conservative",1,2,"conservative"
"244753","conservative",1,155,"conservative"
"244753","conservative",-1,50,"conservative"
"244753","conservative",-1,41,"conservative"
"244753","conservative",1,53,"conservative"
"244753","conservative",1,170,"conservative"
"244753","conservative",1,185,"conservative"
"244753","conservative",-1,71,"conservative"
"244753","conservative",1,177,"conservative"
"244753","conservative",1,100,"conservative"
"244753","conservative",-1,230,"conservative"
"244753","conservative",1,104,"conservative"
"244753","conservative",1,23,"conservative"
"244753","conservative",-1,143,"conservative"
"244753","conservative",-1,30,"conservative"
"244753","conservative",-1,233,"conservative"
"244753","conservative",1,213,"conservative"
"244753","conservative",-1,167,"conservative"
"244753","conservative",-1,187,"conservative"
"244753","conservative",-1,208,"conservative"
"244753","conservative",-1,127,"conservative"
"244753","conservative",-1,154,"conservative"
"244753","conservative",1,72,"conservative"
"244753","conservative",-1,214,"conservative"
"244753","conservative",-1,217,"conservative"
"244753","conservative",-1,68,"conservative"
"244753","conservative",1,6,"conservative"
"244753","conservative",1,69,"conservative"
"244753","conservative",-1,81,"conservative"
"244753","conservative",1,131,"conservative"
"244753","conservative",1,52,"conservative"
"244753","conservative",1,117,"conservative"
"244753","conservative",1,118,"conservative"
"244753","conservative",-1,248,"conservative"
"244753","conservative",1,116,"conservative"
"244753","conservative",-1,22,"conservative"
"244753","conservative",-1,77,"conservative"
"244753","conservative",1,160,"conservative"
"244753","conservative",1,242,"conservative"
"244753","conservative",-1,38,"conservative"
"244753","conservative",1,14,"conservative"
"244753","conservative",-1,136,"conservative"
"244753","conservative",-1,35,"conservative"
"244753","conservative",-1,141,"conservative"
"244753","conservative",1,153,"conservative"
"244753","conservative",-1,61,"conservative"
"244753","conservative",-1,238,"conservative"
"244753","conservative",1,206,"conservative"
"244753","conservative",-1,112,"conservative"
"244753","conservative",1,210,"conservative"
"244753","conservative",-1,176,"conservative"
"244753","conservative",-1,139,"conservative"
"244753","conservative",1,1,"conservative"
"244753","conservative",-1,200,"conservative"
"244753","conservative",1,55,"conservative"
"244753","conservative",1,122,"conservative"
"244753","conservative",-1,124,"conservative"
"244753","conservative",1,244,"conservative"
"244753","conservative",-1,8,"conservative"
"244753","conservative",1,58,"conservative"
"244753","conservative",1,63,"conservative"
"244753","conservative",-1,10,"conservative"
"244753","conservative",1,4,"conservative"
"244753","conservative",1,3,"conservative"
"244753","conservative",-1,169,"conservative"
"244753","conservative",-1,182,"conservative"
"244753","conservative",-1,156,"conservative"
"244753","conservative",-1,62,"conservative"
"244753","conservative",-1,79,"conservative"
"244753","conservative",-1,246,"conservative"
"244753","conservative",-1,219,"conservative"
"244753","conservative",-1,201,"conservative"
"244753","conservative",-1,240,"conservative"
"244753","conservative",-1,33,"conservative"
"244753","conservative",-1,86,"conservative"
"244753","conservative",1,162,"conservative"
"244753","conservative",1,193,"conservative"
"244753","conservative",-1,199,"conservative"
"244753","conservative",-1,80,"conservative"
"244753","conservative",1,20,"conservative"
"244753","conservative",1,202,"conservative"
"244753","conservative",-1,161,"conservative"
"244753","conservative",1,43,"conservative"
"244753","conservative",-1,65,"conservative"
"244753","conservative",1,191,"conservative"
"244753","conservative",1,148,"conservative"
"244753","conservative",1,249,"conservative"
"244753","conservative",-1,145,"conservative"
"244753","conservative",1,235,"conservative"
"244753","conservative",-1,95,"conservative"
"244753","conservative",1,91,"conservative"
"244753","conservative",1,82,"conservative"
"746809","conservative",1,115,"conservative"
"746809","conservative",-1,69,"conservative"
"746809","conservative",-1,223,"conservative"
"746809","conservative",1,43,"conservative"
"746809","conservative",1,2,"conservative"
"746809","conservative",1,121,"conservative"
"746809","conservative",1,92,"conservative"
"746809","conservative",-1,40,"conservative"
"746809","conservative",-1,29,"conservative"
"746809","conservative",-1,54,"conservative"
"746809","conservative",1,38,"conservative"
"746809","conservative",1,155,"conservative"
"746809","conservative",1,68,"conservative"
"746809","conservative",-1,226,"conservative"
"746809","conservative",1,4,"conservative"
"746809","conservative",1,76,"conservative"
"746809","conservative",1,162,"conservative"
"746809","conservative",-1,186,"conservative"
"746809","conservative",-1,81,"conservative"
"746809","conservative",-1,116,"conservative"
"746809","conservative",-1,19,"conservative"
"746809","conservative",1,165,"conservative"
"746809","conservative",-1,79,"conservative"
"746809","conservative",-1,67,"conservative"
"746809","conservative",-1,83,"conservative"
"746809","conservative",-1,129,"conservative"
"746809","conservative",-1,156,"conservative"
"746809","conservative",1,77,"conservative"
"746809","conservative",1,138,"conservative"
"746809","conservative",-1,242,"conservative"
"746809","conservative",-1,190,"conservative"
"746809","conservative",1,247,"conservative"
"746809","conservative",-1,152,"conservative"
"746809","conservative",1,189,"conservative"
"746809","conservative",-1,9,"conservative"
"746809","conservative",-1,197,"conservative"
"746809","conservative",-1,132,"conservative"
"746809","conservative",1,248,"conservative"
"746809","conservative",1,75,"conservative"
"746809","conservative",1,158,"conservative"
"746809","conservative",-1,56,"conservative"
"746809","conservative",-1,87,"conservative"
"746809","conservative",1,13,"conservative"
"746809","conservative",-1,125,"conservative"
"746809","conservative",-1,234,"conservative"
"746809","conservative",-1,47,"conservative"
"746809","conservative",1,207,"conservative"
"746809","conservative",1,90,"conservative"
"746809","conservative",-1,184,"conservative"
"746809","conservative",1,214,"conservative"
"746809","conservative",-1,238,"conservative"
"746809","conservative",1,26,"conservative"
"746809","conservative",1,5,"conservative"
"746809","conservative",-1,221,"conservative"
"746809","conservative",1,139,"conservative"
"746809","conservative",1,136,"conservative"
"746809","conservative",-1,119,"conservative"
"746809","conservative",-1,45,"conservative"
"746809","conservative",-1,11,"conservative"
"746809","conservative",1,100,"conservative"
"746809","conservative",1,203,"conservative"
"746809","conservative",-1,48,"conservative"
"746809","conservative",-1,198,"conservative"
"746809","conservative",-1,148,"conservative"
"746809","conservative",1,117,"conservative"
"746809","conservative",-1,168,"conservative"
"746809","conservative",-1,27,"conservative"
"746809","conservative",-1,22,"conservative"
"746809","conservative",-1,194,"conservative"
"746809","conservative",-1,122,"conservative"
"746809","conservative",1,18,"conservative"
"746809","conservative",1,195,"conservative"
"746809","conservative",-1,164,"conservative"
"746809","conservative",1,17,"conservative"
"746809","conservative",-1,3,"conservative"
"746809","conservative",-1,137,"conservative"
"746809","conservative",-1,12,"conservative"
"746809","conservative",-1,218,"conservative"
"746809","conservative",1,191,"conservative"
"746809","conservative",1,127,"conservative"
"746809","conservative",1,231,"conservative"
"746809","conservative",1,205,"conservative"
"746809","conservative",-1,53,"conservative"
"746809","conservative",1,70,"conservative"
"746809","conservative",-1,41,"conservative"
"746809","conservative",-1,224,"conservative"
"746809","conservative",1,97,"conservative"
"746809","conservative",1,213,"conservative"
"746809","conservative",1,98,"conservative"
"746809","conservative",-1,209,"conservative"
"746809","conservative",1,170,"conservative"
"746809","conservative",1,46,"conservative"
"746809","conservative",-1,30,"conservative"
"746809","conservative",-1,85,"conservative"
"746809","conservative",-1,128,"conservative"
"746809","conservative",-1,35,"conservative"
"746809","conservative",-1,150,"conservative"
"746809","conservative",-1,133,"conservative"
"746809","conservative",1,181,"conservative"
"746809","conservative",1,58,"conservative"
"746809","conservative",1,229,"conservative"
"746809","conservative",1,187,"conservative"
"746809","conservative",1,245,"conservative"
"746809","conservative",-1,64,"conservative"
"746809","conservative",-1,210,"conservative"
"746809","conservative",-1,178,"conservative"
"746809","conservative",-1,220,"conservative"
"746809","conservative",1,78,"conservative"
"746809","conservative",-1,206,"conservative"
"746809","conservative",1,172,"conservative"
"746809","conservative",1,59,"conservative"
"746809","conservative",1,200,"conservative"
"746809","conservative",-1,211,"conservative"
"746809","conservative",1,230,"conservative"
"746809","conservative",1,232,"conservative"
"746809","conservative",1,84,"conservative"
"746809","conservative",1,235,"conservative"
"746809","conservative",1,135,"conservative"
"746809","conservative",-1,34,"conservative"
"746809","conservative",1,104,"conservative"
"746809","conservative",1,250,"conservative"
"746809","conservative",-1,101,"conservative"
"746809","conservative",-1,157,"conservative"
"746809","conservative",1,130,"conservative"
"746809","conservative",1,37,"conservative"
"746809","conservative",1,201,"conservative"
"746809","conservative",-1,50,"conservative"
"746809","conservative",-1,72,"conservative"
"746809","conservative",-1,160,"conservative"
"746809","conservative",-1,161,"conservative"
"746809","conservative",1,42,"conservative"
"746809","conservative",1,74,"conservative"
